FLTR,23-10-2023,16915.58
FLTR,24-10-2023,17050.90
FLTR,25-10-2023,17085.00
FLTR,26-10-2023,17170.43
FLTR,27-10-2023,17256.28
FLTR,28-10-2023,17083.72
FLTR,29-10-2023,17152.05
FLTR,30-10-2023,17375.03
FLTR,31-10-2023,17583.53
FLTR,01-11-2023,17671.45
FLTR,02-11-2023,17865.83
FLTR,03-11-2023,18008.76
FLTR,04-11-2023,18008.76
FLTR,05-11-2023,18206.85
FLTR,06-11-2023,18206.85
FLTR,07-11-2023,18042.99
FLTR,08-11-2023,18024.95
FLTR,09-11-2023,17916.80
FLTR,10-11-2023,17880.97
FLTR,11-11-2023,17934.61
FLTR,12-11-2023,17773.20
FLTR,13-11-2023,17613.24
FLTR,14-11-2023,17525.17
FLTR,15-11-2023,17542.70
FLTR,16-11-2023,17718.12
FLTR,17-11-2023,17930.74
FLTR,18-11-2023,17948.67
FLTR,19-11-2023,17984.57
FLTR,20-11-2023,17858.68
FLTR,21-11-2023,18090.84
